726.0,951.0
722.0,952.0
713.0,954.0
700.0,956.0
683.0,959.0
661.0,963.0
637.0,967.0
611.0,971.0
587.0,974.0
564.0,976.0
543.0,978.0
525.0,979.0
512.0,980.0
502.0,981.0
494.0,981.0
488.0,981.0
484.0,981.0
481.0,981.0
480.0,981.0
480.0,980.0
482.0,979.0
490.0,978.0
507.0,975.0
530.0,972.0
553.0,970.0
576.0,968.0
596.0,968.0
614.0,968.0
630.0,970.0
645.0,973.0
658.0,977.0
669.0,983.0
679.0,990.0
687.0,999.0
695.0,1012.0
701.0,1024.0
705.0,1036.0
707.0,1045.0
707.0,1053.0
706.0,1059.0
704.0,1063.0
702.0,1066.0
700.0,1068.0
696.0,1070.0
693.0,1072.0
