642.0,507.0
643.0,507.0
646.0,507.0
650.0,508.0
655.0,510.0
662.0,513.0
670.0,518.0
680.0,524.0
690.0,531.0
702.0,539.0
714.0,549.0
727.0,562.0
741.0,581.0
754.0,599.0
767.0,622.0
778.0,646.0
786.0,668.0
791.0,690.0
793.0,714.0
791.0,733.0
787.0,751.0
781.0,770.0
773.0,788.0
764.0,802.0
753.0,814.0
737.0,826.0
716.0,837.0
689.0,846.0
661.0,851.0
633.0,852.0
602.0,848.0
576.0,841.0
551.0,830.0
526.0,817.0
504.0,803.0
484.0,787.0
466.0,768.0
448.0,748.0
431.0,727.0
414.0,703.0
400.0,682.0
388.0,665.0
375.0,647.0
363.0,629.0
353.0,612.0
345.0,601.0
339.0,591.0
334.0,583.0
330.0,577.0
326.0,572.0
323.0,568.0
321.0,566.0
319.0,564.0
318.0,563.0
317.0,562.0
316.0,562.0
315.0,562.0
315.0,563.0
315.0,567.0
315.0,575.0
316.0,587.0
317.0,602.0
317.0,616.0
317.0,630.0
317.0,651.0
317.0,678.0
317.0,700.0
317.0,739.0
318.0,768.0
320.0,806.0
321.0,833.0
323.0,864.0
324.0,894.0
325.0,916.0
325.0,945.0
325.0,968.0
324.0,989.0
324.0,1018.0
324.0,1041.0
324.0,1046.0
